Task ID, Job ID, BCCT, WCCT, BCRT, WCRT
0, 0, 50, 63, 50, 63
0, 1, 85, 107, 85, 107
0, 2, 114, 144, 114, 144
0, 3, 192, 242, 192, 242
0, 4, 244, 308, 244, 308
0, 5, 212, 268, 212, 268
0, 6, 179, 226, 179, 226
0, 7, 110, 139, 110, 139
0, 8, 156, 197, 156, 197
0, 9, 193, 244, 193, 244
0, 10, 160, 232, 160, 232
0, 11, 127, 161, 127, 161
0, 12, 144, 183, 144, 183
0, 13, 127, 162, 127, 162
0, 14, 304, 383, 304, 383
0, 15, 265, 334, 265, 334
0, 16, 176, 223, 176, 223
0, 17, 312, 393, 312, 393
0, 18, 314, 396, 314, 396
0, 19, 317, 400, 317, 400
